student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,absences,G1,G2,G3,ClusterID,Recommendation,Tools
1,0,0,0.4285714285714284,1,0,0,1.0,1.0,0,4,0,1,0.3333333333333333,0.3333333333333333,0.0,0.125,0.0,0.5789473684210527,0.5789473684210527,3,"Foundations & attendance: Start with basics, improve class attendance, remedial practice.","Guided tutorials, mentor sessions, basic practice worksheets"
2,0,0,0.2857142857142856,1,0,1,0.25,0.25,0,2,0,0,0.0,0.3333333333333333,0.0,0.0625,0.4736842105263157,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
3,0,0,0.0,1,1,1,0.25,0.25,0,2,2,1,0.0,0.3333333333333333,0.0,0.1875,0.631578947368421,0.6842105263157894,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
4,0,0,0.0,1,0,1,1.0,0.5,1,3,1,1,0.0,0.6666666666666667,0.0,0.0,0.7368421052631579,0.7368421052631579,0.7368421052631579,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
5,0,0,0.1428571428571428,1,0,1,0.75,0.75,2,2,1,0,0.0,0.3333333333333333,0.0,0.0,0.5789473684210527,0.6842105263157894,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
6,0,1,0.1428571428571428,1,1,1,1.0,0.75,3,2,3,1,0.0,0.3333333333333333,0.0,0.1875,0.631578947368421,0.631578947368421,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
7,0,1,0.1428571428571428,1,1,1,0.5,0.5,2,2,1,1,0.0,0.3333333333333333,0.0,0.0,0.6842105263157894,0.631578947368421,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
8,0,0,0.2857142857142856,1,0,0,1.0,1.0,2,4,1,1,0.3333333333333333,0.3333333333333333,0.0,0.0625,0.5263157894736842,0.6842105263157894,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
9,0,1,0.0,1,1,0,0.75,0.5,3,2,1,1,0.0,0.3333333333333333,0.0,0.0,0.7894736842105263,0.8421052631578947,0.894736842105263,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
10,0,1,0.0,1,0,1,0.75,1.0,2,2,1,1,0.0,0.3333333333333333,0.0,0.0,0.631578947368421,0.631578947368421,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
11,0,0,0.0,1,0,1,1.0,1.0,4,1,3,1,0.0,0.3333333333333333,0.0,0.0625,0.7368421052631579,0.7368421052631579,0.7368421052631579,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
12,0,0,0.0,1,0,1,0.5,0.25,3,2,3,0,0.6666666666666667,0.6666666666666667,0.0,0.0,0.5263157894736842,0.631578947368421,0.6842105263157894,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
13,0,1,0.0,1,1,1,1.0,1.0,1,3,0,0,0.0,0.0,0.0,0.0,0.631578947368421,0.6842105263157894,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
14,0,1,0.0,1,0,1,1.0,0.75,4,2,0,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.631578947368421,0.631578947368421,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
15,0,1,0.0,1,0,0,0.5,0.5,2,2,1,2,0.0,0.6666666666666667,0.0,0.0,0.7368421052631579,0.7368421052631579,0.7894736842105263,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
16,0,0,0.1428571428571428,1,0,1,1.0,1.0,1,2,1,1,0.0,0.0,0.0,0.1875,0.894736842105263,0.894736842105263,0.894736842105263,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
17,0,0,0.1428571428571428,1,0,1,1.0,1.0,3,3,3,1,0.0,0.6666666666666667,0.0,0.3125,0.6842105263157894,0.6842105263157894,0.7368421052631579,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
18,0,0,0.1428571428571428,1,0,1,0.75,0.75,2,2,3,1,0.6666666666666667,0.3333333333333333,0.0,0.0625,0.6842105263157894,0.7368421052631579,0.7368421052631579,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
19,0,1,0.2857142857142856,1,0,1,0.75,0.5,3,3,0,1,0.0,0.0,1.0,0.0625,0.4210526315789473,0.4210526315789473,0.3684210526315789,3,"Foundations & attendance: Start with basics, improve class attendance, remedial practice.","Guided tutorials, mentor sessions, basic practice worksheets"
20,0,1,0.1428571428571428,1,1,1,1.0,0.75,1,2,1,0,0.0,0.0,0.0,0.1875,0.631578947368421,0.631578947368421,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
21,0,1,0.0,1,0,1,1.0,0.75,4,2,3,1,0.0,0.3333333333333333,0.0,0.0,0.631578947368421,0.6842105263157894,0.7368421052631579,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
22,0,1,0.0,1,0,1,1.0,1.0,1,1,2,0,0.0,0.0,0.0,0.0,0.5789473684210527,0.631578947368421,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
23,0,1,0.1428571428571428,1,1,1,1.0,0.5,4,2,0,1,0.0,0.3333333333333333,0.0,0.0,0.631578947368421,0.6842105263157894,0.7368421052631579,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
